frame_index,time_seconds,x1,y1,x2,y2,confidence,pitch_deg,yaw_deg,roll_deg
102,3.403,1559.026,114.56,1598.079,153.131,0.8082,23.889,-15.467,-19.171
102,3.403,519.375,307.985,679.314,467.954,0.7987,-31.77,-33.393,0.619
103,3.437,532.696,309.412,683.723,462.831,0.8562,-30.163,-156.165,1.086
103,3.437,1559.196,114.564,1598.142,153.088,0.8314,20.077,-10.841,-19.404
104,3.47,548.129,310.021,702.233,466.154,0.8505,-28.86,-161.094,2.372
104,3.47,1559.399,114.237,1598.054,152.505,0.8395,16.001,-5.539,-17.5
105,3.503,567.039,312.311,717.243,464.587,0.8702,-34.174,-154.172,4.892
105,3.503,1559.73,115.087,1598.066,153.156,0.837,16.332,-3.64,-15.458
106,3.537,587.169,316.641,730.645,462.9,0.879,-32.443,-157.118,3.262
106,3.537,1560.254,116.397,1597.524,153.578,0.842,20.166,-11.846,-18.244
107,3.57,604.262,317.316,749.779,466.472,0.8616,-32.848,-157.98,4.856
107,3.57,1560.148,117.752,1597.444,154.941,0.8194,20.991,-9.573,-17.575
108,3.604,639.021,320.881,780.38,465.405,0.8825,-32.344,-158.229,3.231
108,3.604,1560.022,119.77,1598.018,157.73,0.5941,21.661,-7.036,-15.718
109,3.637,659.544,320.597,798.297,462.332,0.8861,-34.031,-159.929,6.964
109,3.637,1560.38,119.913,1598.207,157.627,0.579,20.703,-3.238,-13.581
110,3.67,668.326,314.348,814.738,464.417,0.8229,-31.781,-158.836,3.78
110,3.67,1561.21,119.906,1597.746,156.257,0.7137,21.144,-4.422,-12.77
111,3.704,688.447,312.298,830.776,457.918,0.8626,-31.193,-164.142,5.98
111,3.704,1561.047,119.168,1597.319,155.164,0.6703,25.838,-18.811,-18.16
112,3.737,704.698,309.014,848.166,455.683,0.8723,-33.907,-161.97,3.983
112,3.737,1560.342,117.241,1597.415,154.032,0.7544,23.244,-14.526,-16.853
113,3.77,711.933,307.327,854.843,453.954,0.8655,-34.787,-160.118,6.007
113,3.77,1559.721,116.301,1597.319,153.667,0.7773,23.749,-18.894,-19.272
114,3.804,719.218,305.337,860.294,449.798,0.8327,-35.833,-155.529,6.847
114,3.804,1559.352,115.724,1597.308,153.454,0.8173,23.375,-9.806,-16.283
115,3.837,1558.559,114.019,1596.932,152.221,0.8606,22.809,-9.105,-19.437
115,3.837,735.216,302.207,871.93,442.566,0.8476,-34.386,-160.143,4.104
116,3.871,1557.296,112.37,1595.672,150.651,0.8653,20.124,-8.554,-19.062
116,3.871,745.845,299.943,885.553,442.472,0.7849,-31.112,-158.229,3.204
117,3.904,1555.666,111.106,1594.095,149.588,0.8488,18.02,-6.566,-20.888
117,3.904,776.495,296.252,915.142,437.99,0.8292,-35.723,-146.92,7.083
118,3.937,1555.606,111.345,1594.117,149.88,0.8662,17.515,-3.659,-18.801
118,3.937,778.504,295.559,922.166,442.979,0.8401,-36.317,-152.312,9.012
119,3.971,1555.432,111.185,1594.097,149.924,0.8621,17.331,4.049,-19.308
119,3.971,783.605,294.728,933.232,448.19,0.837,-33.454,-156.246,9.33
120,4.004,1554.572,111.658,1593.953,151.113,0.8549,24.065,4.512,-18.54
120,4.004,794.206,295.06,948.534,454.805,0.847,-30.791,-163.21,7.326
121,4.037,808.402,298.754,958.736,453.064,0.8486,-33.643,-161.478,7.448
121,4.037,1553.98,112.578,1593.976,152.742,0.8446,24.651,3.109,-20.821
122,4.071,822.49,300.491,968.676,451.831,0.8689,-31.638,-163.564,6.83
122,4.071,1554.244,113.817,1593.042,152.866,0.8432,17.219,12.342,-18.267
123,4.104,1553.449,115.528,1591.857,153.903,0.8491,17.345,2.033,-17.545
123,4.104,831.812,301.893,979.24,454.704,0.8329,-32.716,-149.522,3.746
124,4.137,1552.347,115.926,1590.054,153.862,0.8489,16.583,8.748,-12.256
124,4.137,851.218,306.026,992.212,452.149,0.8195,-35.065,-140.217,2.626
125,4.171,1551.931,115.903,1589.754,154.033,0.8504,17.742,8.099,-11.926
125,4.171,856.305,306.524,996.647,450.763,0.8345,-35.826,-107.024,1.767
126,4.204,1551.324,115.67,1589.54,154.184,0.8583,18.089,7.347,-13.934
126,4.204,870.103,305.622,1007.789,447.515,0.8429,-33.567,-160.425,5.458
127,4.238,1550.352,113.641,1588.604,151.953,0.8581,16.633,14.112,-9.068
127,4.238,889.756,301.315,1028.31,442.215,0.8084,-32.953,-160.989,6.469
128,4.271,1550.333,112.947,1588.586,151.229,0.8582,15.034,16.715,-8.559
128,4.271,897.086,300.159,1030.486,437.015,0.8336,-34.507,-157.097,5.268
129,4.304,1550.264,111.887,1588.496,150.155,0.8539,15.806,15.572,-9.273
129,4.304,900.369,298.47,1036.73,437.886,0.8492,-36.197,-151.417,5.572
130,4.338,911.016,293.111,1046.234,433.042,0.8751,-32.48,162.177,0.69
130,4.338,1550.336,109.484,1588.531,148.116,0.8099,10.622,21.474,-4.426
131,4.371,922.235,291.265,1055.475,428.518,0.8627,-36.871,160.284,-2.779
131,4.371,1549.978,107.852,1588.5,146.612,0.8465,12.282,22.062,-3.093
132,4.404,944.99,289.566,1075.713,422.308,0.8763,-34.428,162.907,-0.861
132,4.404,1549.571,105.013,1588.604,144.216,0.8583,13.058,31.218,1.576
133,4.438,1549.615,104.946,1588.944,144.381,0.8597,13.047,25.91,0.641
133,4.438,957.397,288.311,1088.82,422.722,0.8537,-36.187,148.286,-2.676
134,4.471,1549.335,104.931,1588.683,144.466,0.8641,11.21,15.371,0.286
134,4.471,967.104,288.597,1099.125,422.32,0.8446,-32.822,147.746,-0.117
135,4.504,975.427,289.457,1103.663,420.464,0.8827,-34.957,-160.048,1.057
135,4.504,1549.062,105.205,1588.774,145.071,0.8637,11.333,15.791,1.106
136,4.538,1548.67,105.511,1588.608,145.656,0.8661,10.693,10.547,0.345
136,4.538,981.353,289.132,1109.574,420.87,0.8626,-38.081,-158.091,2.424
137,4.571,1548.633,106.882,1588.485,146.933,0.8667,11.882,10.109,-0.462
137,4.571,987.216,292.602,1124.215,431.565,0.8616,-29.362,-160.891,-0.244
138,4.605,1001.946,295.02,1134.558,428.989,0.8895,-18.59,-160.02,3.295
138,4.605,1548.435,107.758,1588.188,147.766,0.8618,11.931,8.95,-1.331
139,4.638,1025.945,299.099,1158.466,433.274,0.8873,-27.585,-159.31,2.566
139,4.638,1548.601,109.635,1588.662,149.009,0.8566,10.188,4.387,-4.146
140,4.671,1548.371,109.603,1588.581,149.119,0.8613,11.214,4.929,-3.766
140,4.671,1036.622,297.783,1169.305,431.94,0.8575,-25.89,-160.799,2.161
141,4.705,1046.943,296.208,1182.145,432.454,0.891,-10.466,-160.563,4.382
141,4.705,1548.044,108.893,1588.337,148.464,0.8463,13.839,-0.517,-3.627
142,4.738,1053.351,295.618,1187.225,430.506,0.8851,-9.269,-162.416,5.037
142,4.738,1547.973,108.172,1588.033,148.465,0.8493,11.73,11.818,2.216
143,4.771,1057.726,294.774,1192.377,431.26,0.8777,-10.328,-163.079,2.596
143,4.771,1547.516,107.344,1588.289,148.514,0.8483,14.127,13.829,4.069
144,4.805,1070.278,294.769,1201.912,427.514,0.89,-16.072,-162.543,3.893
144,4.805,1547.161,106.667,1587.574,147.242,0.8488,15.89,19.21,5.263
144,4.805,1649.538,120.959,1682.908,154.157,0.357,20.863,25.153,11.419
145,4.838,1091.161,291.112,1219.997,419.678,0.8831,-10.132,-162.565,4.692
145,4.838,1546.429,104.554,1585.731,144.228,0.8593,13.843,18.922,4.524
146,4.872,1094.23,288.728,1225.47,420.237,0.8816,-10.154,-161.933,4.886
146,4.872,1545.805,103.999,1585.247,143.663,0.8623,14.715,17.614,3.639
147,4.905,1100.355,284.79,1236.954,422.132,0.8694,-9.641,-160.311,4.641
147,4.905,1544.559,102.982,1584.286,143.024,0.8562,12.443,12.734,2.21
